"Plot Title: baddeck"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 10536701, SEN S/N: 10536701)","Temp, °C (LGR S/N: 10536701, SEN S/N: 10536701)","Sensor Depth, meters (LGR S/N: 10536701)"
228,11/05/14 06:26:37  PM,116.336,10.553,1.486
229,11/05/14 06:41:37  PM,116.393,10.651,1.494
230,11/05/14 06:56:37  PM,116.298,10.651,1.488
231,11/05/14 07:11:37  PM,116.162,10.651,1.475
232,11/05/14 07:26:37  PM,116.235,10.651,1.485
233,11/05/14 07:41:37  PM,116.277,10.651,1.493
234,11/05/14 07:56:37  PM,116.613,10.651,1.528
235,11/05/14 08:11:37  PM,116.393,10.651,1.509
236,11/05/14 08:26:37  PM,116.403,10.651,1.510
237,11/05/14 08:41:37  PM,116.330,10.651,1.504
238,11/05/14 08:56:37  PM,116.414,10.651,1.513
239,11/05/14 09:11:37  PM,116.498,10.651,1.522
240,11/05/14 09:26:37  PM,116.393,10.651,1.511
241,11/05/14 09:41:37  PM,116.445,10.651,1.515
242,11/05/14 09:56:37  PM,116.519,10.651,1.522
243,11/05/14 10:11:37  PM,116.483,10.553,1.518
244,11/05/14 10:26:37  PM,116.445,10.651,1.513
245,11/05/14 10:41:37  PM,116.288,10.651,1.498
246,11/05/14 10:56:37  PM,116.214,10.651,1.489
247,11/05/14 11:11:37  PM,116.256,10.651,1.492
248,11/05/14 11:26:37  PM,116.246,10.651,1.488
249,11/05/14 11:41:37  PM,116.193,10.651,1.480
250,11/05/14 11:56:37  PM,116.099,10.651,1.470
251,11/06/14 12:11:37  AM,115.888,10.651,1.449
252,11/06/14 12:26:37  AM,115.962,10.651,1.454
253,11/06/14 12:41:37  AM,115.909,10.651,1.446
254,11/06/14 12:56:37  AM,115.867,10.651,1.440
255,11/06/14 01:11:37  AM,115.752,10.651,1.426
256,11/06/14 01:26:37  AM,115.899,10.651,1.439
257,11/06/14 01:41:37  AM,115.867,10.651,1.434
258,11/06/14 01:56:37  AM,115.956,10.748,1.441
259,11/06/14 02:11:37  AM,115.739,10.846,1.419
260,11/06/14 02:26:37  AM,115.796,10.944,1.424
261,11/06/14 02:41:37  AM,115.670,10.944,1.412
262,11/06/14 02:56:37  AM,115.638,10.944,1.410
263,11/06/14 03:11:37  AM,115.622,11.041,1.408
264,11/06/14 03:26:37  AM,115.533,10.944,1.399
265,11/06/14 03:41:37  AM,115.475,11.041,1.393
266,11/06/14 03:56:37  AM,115.458,11.139,1.390
267,11/06/14 04:11:37  AM,115.489,11.139,1.392
268,11/06/14 04:26:37  AM,115.479,11.139,1.389
269,11/06/14 04:41:37  AM,115.458,11.139,1.384
270,11/06/14 04:56:37  AM,115.464,11.041,1.383
271,11/06/14 05:11:37  AM,115.464,11.041,1.384
272,11/06/14 05:26:37  AM,115.571,10.846,1.396
273,11/06/14 05:41:37  AM,115.514,10.748,1.389
274,11/06/14 05:56:37  AM,115.441,10.748,1.380
275,11/06/14 06:11:37  AM,115.580,10.553,1.392
276,11/06/14 06:26:37  AM,115.657,10.651,1.398
277,11/06/14 06:41:37  AM,115.752,10.651,1.407
278,11/06/14 06:56:37  AM,115.851,10.748,1.415
279,11/06/14 07:11:37  AM,115.823,10.846,1.410
280,11/06/14 07:26:37  AM,116.076,10.846,1.434
281,11/06/14 07:41:37  AM,116.132,10.455,1.438
282,11/06/14 07:56:37  AM,116.239,10.259,1.447
283,11/06/14 08:11:37  AM,116.218,10.259,1.443
284,11/06/14 08:26:37  AM,116.327,10.357,1.455
285,11/06/14 08:41:37  AM,116.170,10.357,1.438
286,11/06/14 08:56:37  AM,116.248,10.455,1.445
287,11/06/14 09:11:37  AM,116.075,10.357,1.429
288,11/06/14 09:26:37  AM,116.290,10.455,1.451
289,11/06/14 09:41:37  AM,116.206,10.455,1.442
290,11/06/14 09:56:37  AM,116.304,10.553,1.449
291,11/06/14 10:11:37  AM,116.220,10.553,1.440
292,11/06/14 10:26:37  AM,116.262,10.553,1.443
293,11/06/14 10:41:37  AM,116.336,10.553,1.450
294,11/06/14 10:56:37  AM,116.283,10.553,1.445
