* ID=Minilog-T
* Serial Number=4157
* Study ID=Jay MacDonald
* Start Time=2012-03-12 15:01:26
* Finish Time=2012-08-23 13:01:26
* Sample Period=01:00:00
* Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2012-03-27,11:01:26,18.14
2012-03-27,12:01:26,18.29
2012-03-27,13:01:26,18.45
2012-03-27,14:01:26,18.45
2012-03-27,15:01:26,18.60
2012-03-27,16:01:26,18.76
2012-03-27,17:01:26,18.76
2012-03-27,18:01:26,18.76
2012-03-27,19:01:26,18.76
2012-03-27,20:01:26,18.60
2012-03-27,21:01:26,18.45
2012-03-27,22:01:26,18.29
2012-03-27,23:01:26,18.14
2012-03-28,00:01:26,18.14
2012-03-28,01:01:26,17.99
2012-03-28,02:01:26,17.99
2012-03-28,03:01:26,17.83
2012-03-28,04:01:26,17.83
2012-03-28,05:01:26,17.68
2012-03-28,06:01:26,17.68
2012-03-28,07:01:26,17.68
2012-03-28,08:01:26,17.52
2012-03-28,09:01:26,17.52
2012-03-28,10:01:26,17.68
2012-03-28,11:01:26,17.99
2012-03-28,12:01:26,18.14
2012-03-28,13:01:26,18.29
2012-03-28,14:01:26,18.29
2012-03-28,15:01:26,18.45
2012-03-28,16:01:26,18.60
2012-03-28,17:01:26,18.60
2012-03-28,18:01:26,18.60
2012-03-28,19:01:26,18.76
2012-03-28,20:01:26,18.76
2012-03-28,21:01:26,18.60
2012-03-28,22:01:26,18.60
2012-03-28,23:01:26,18.45
2012-03-29,00:01:26,18.29
2012-03-29,01:01:26,18.29
2012-03-29,02:01:26,18.29
2012-03-29,03:01:26,18.14
2012-03-29,04:01:26,18.14
2012-03-29,05:01:26,18.14
2012-03-29,06:01:26,17.99
2012-03-29,07:01:26,17.99
2012-03-29,08:01:26,17.99
2012-03-29,09:01:26,17.99
2012-03-29,10:01:26,17.99
2012-03-29,11:01:26,17.99
2012-03-29,12:01:26,18.14
2012-03-29,13:01:26,18.29
2012-03-29,14:01:26,18.60
2012-03-29,15:01:26,18.60
2012-03-29,16:01:26,18.76
2012-03-29,17:01:26,18.76
2012-03-29,18:01:26,18.91
2012-03-29,19:01:26,18.91
2012-03-29,20:01:26,18.91
2012-03-29,21:01:26,18.76
2012-03-29,22:01:26,18.76
2012-03-29,23:01:26,18.60
2012-03-30,00:01:26,18.45
2012-03-30,01:01:26,18.29
2012-03-30,02:01:26,18.29
2012-03-30,03:01:26,18.29
2012-03-30,04:01:26,18.14
2012-03-30,05:01:26,18.14
2012-03-30,06:01:26,18.14
2012-03-30,07:01:26,18.14
2012-03-30,08:01:26,17.99
2012-03-30,09:01:26,18.14
2012-03-30,10:01:26,18.14
2012-03-30,11:01:26,18.29
2012-03-30,12:01:26,18.60
2012-03-30,13:01:26,18.76
2012-03-30,14:01:26,18.76
2012-03-30,15:01:26,18.76
2012-03-30,16:01:26,18.91
2012-03-30,17:01:26,18.91
2012-03-30,18:01:26,18.91
2012-03-30,19:01:26,18.91
2012-03-30,20:01:26,18.91
2012-03-30,21:01:26,18.76
2012-03-30,22:01:26,18.76
2012-03-30,23:01:26,18.60
2012-03-31,00:01:26,18.45
2012-03-31,01:01:26,18.45
2012-03-31,02:01:26,18.45
2012-03-31,03:01:26,18.29
2012-03-31,04:01:26,18.29
2012-03-31,05:01:26,18.14
2012-03-31,06:01:26,18.14
2012-03-31,07:01:26,17.99
2012-03-31,08:01:26,17.99
2012-03-31,09:01:26,17.99
2012-03-31,10:01:26,18.14
2012-03-31,11:01:26,18.29
2012-03-31,12:01:26,18.45
2012-03-31,13:01:26,18.60
2012-03-31,14:01:26,18.76
2012-03-31,15:01:26,18.76
2012-03-31,16:01:26,18.91
2012-03-31,17:01:26,18.91
2012-03-31,18:01:26,19.07
2012-03-31,19:01:26,19.07
2012-03-31,20:01:26,19.07
2012-03-31,21:01:26,18.91
2012-03-31,22:01:26,18.91
2012-03-31,23:01:26,18.76
2012-04-01,00:01:26,18.76
2012-04-01,01:01:26,18.60
2012-04-01,02:01:26,18.45
2012-04-01,03:01:26,18.45
2012-04-01,04:01:26,18.29
2012-04-01,05:01:26,18.14
2012-04-01,06:01:26,18.14
2012-04-01,07:01:26,17.99
2012-04-01,08:01:26,17.99
2012-04-01,09:01:26,17.99
2012-04-01,10:01:26,18.14
2012-04-01,11:01:26,18.29
2012-04-01,12:01:26,18.45
2012-04-01,13:01:26,18.60
2012-04-01,14:01:26,18.76
2012-04-01,15:01:26,18.91
2012-04-01,16:01:26,18.91
2012-04-01,17:01:26,19.07
2012-04-01,18:01:26,19.07
2012-04-01,19:01:26,19.07
2012-04-01,20:01:26,19.07
2012-04-01,21:01:26,19.07
2012-04-01,22:01:26,18.91
2012-04-01,23:01:26,18.91
2012-04-02,00:01:26,18.76
2012-04-02,01:01:26,18.76
2012-04-02,02:01:26,18.60
2012-04-02,03:01:26,18.60
2012-04-02,04:01:26,18.45
2012-04-02,05:01:26,18.45
2012-04-02,06:01:26,18.45
2012-04-02,07:01:26,18.45
2012-04-02,08:01:26,18.45
2012-04-02,09:01:26,18.45
2012-04-02,10:01:26,18.45
2012-04-02,11:01:26,18.60
2012-04-02,12:01:26,18.76
2012-04-02,13:01:26,18.91
2012-04-02,14:01:26,19.23
2012-04-02,15:01:26,19.23
2012-04-02,16:01:26,19.38
2012-04-02,17:01:26,19.54
2012-04-02,18:01:26,19.38
2012-04-02,19:01:26,19.38
2012-04-02,20:01:26,19.23
